 The C Programming Language;131103628;9,78013E+12;Brian W. Kernighan, Dennis M. Ritchie;Prentice Hall;language, programming;272;01/04/1988;Paperback;67.00 USD
 C Programming Absolute Beginner's Guide (3rd Edition);789751984;9,78079E+12;Greg Perry, Dean Miller;Que Publishing;guide, beginner, absolute, programming;352;17/08/2013;Paperback;29.99 USD
 The C Programming Language;8120305965;9,78812E+12;Brian W. Kernighan, Dennis M. Ritchie;Prentice;language, programming;272;1988;Paperback;14.95 USD
 C Programming: A Modern Approach, 2nd Edition;393979504;9,78039E+12; K. N. King;W. W. Norton & Company;approach, modern, programming;832;19/04/2008;Paperback;Unknown
 Programming in C (4th Edition) (Developer's Library);321776410;9,78032E+12; Stephen G. Kochan;Addison-Wesley Professional;library, developer, programming;600;28/08/2014;Paperback;49.99 USD
 C Programming Success in a Day: Beginners' Guide To Fast, Easy And Efficient Learning Of C Programming;1508429030;9,78151E+12; Sam Key;CreateSpace Independent Publishing Platform;programming, easy, efficient, learning, fast, guide, success, day, beginners;88;09/02/2015;Paperback;19.35 USD
 C Programming: C Programming Language Guide For Beginners (Written By A Software Engineer) (Volume 1);1505857945;9,78151E+12; Scott Sanderson;CreateSpace Independent Publishing Platform;programming, engineer, volume, software, beginners, language, guide, written;158;31/12/2014;Paperback;14.99 USD
 Expert C Programming: Deep C Secrets;131774298;9,78013E+12; Peter van der Linden;Prentice Hall;secrets, programming, expert;353;24/06/1994;Paperback;42.99 USD
 Programming in C (3rd Edition);672326663;9,78067E+12; Stephen G. Kochan;Sams Publishing;programming;576;18/07/2004;Paperback;49.99 USD
 Objective-C Programming: The Big Nerd Ranch Guide (2nd Edition) (Big Nerd Ranch Guides);032194206X;9,78032E+12;Aaron Hillegass, Mikey Ward;Big Nerd Ranch Guides;ranch, nerd, guides, guide, programming, objective;325;28/11/2013;Paperback;39.99 USD
 C Programming in One Hour a Day, Sams Teach Yourself (7th Edition);789751992;9,78079E+12;Bradley L. Jones, Peter Aitken, Dean Miller;Sams Publishing;teach, yourself, sams, day, one, hour, programming;720;21/10/2013;Paperback;39.99 USD
 C Programming: A Modern Approach;393969452;9,78039E+12;K. N. King, K.N. King;W W Norton & Co Inc;approach, modern, programming;661;1996-02;Paperback;90.90 USD
 The C Answer Book: Solutions to the Exercises in 'The C Programming Language,' Second Edition;131096532;9,78013E+12;Clovis L. Tondo, Scott E. Gimpel;Prentice Hall;language, second, programming, exercises, solutions, book;208;11/11/1988;Paperback;48.67 USD
 C All-in-One Desk Reference For Dummies;764570692;9,78076E+12; Dan Gookin;Wiley Publishing, Inc.;dummies, reference, desk, one;840;03/09/2004;Paperback;34.99 USD
