 The C Programming Language;0131103628;9780131103627;Brian W. Kernighan, Dennis M. Ritchie;Prentice Hall;language, programming;272;1988-04-01;Paperback;67.00 USD
 C Programming Absolute Beginner's Guide (3rd Edition);0789751984;9780789751980;Greg Perry, Dean Miller;Que Publishing;guide, beginner, absolute, programming;352;2013-08-17;Paperback;29.99 USD
 The C Programming Language;8120305965;9788120305960;Brian W. Kernighan, Dennis M. Ritchie;Prentice;language, programming;272;1988;Paperback;14.95 USD
 C Programming: A Modern Approach, 2nd Edition;0393979504;9780393979503; K. N. King;W. W. Norton & Company;approach, modern, programming;832;2008-04-19;Paperback;Unknown
 Programming in C (4th Edition) (Developer's Library);0321776410;9780321776419; Stephen G. Kochan;Addison-Wesley Professional;library, developer, programming;600;2014-08-28;Paperback;49.99 USD
 C Programming Success in a Day: Beginners' Guide To Fast, Easy And Efficient Learning Of C Programming;1508429030;9781508429036; Sam Key;CreateSpace Independent Publishing Platform;programming, easy, efficient, learning, fast, guide, success, day, beginners;88;2015-02-09;Paperback;19.35 USD
 C Programming: C Programming Language Guide For Beginners (Written By A Software Engineer) (Volume 1);1505857945;9781505857948; Scott Sanderson;CreateSpace Independent Publishing Platform;programming, engineer, volume, software, beginners, language, guide, written;158;2014-12-31;Paperback;14.99 USD
 Expert C Programming: Deep C Secrets;0131774298;9780131774292; Peter van der Linden;Prentice Hall;secrets, programming, expert;353;1994-06-24;Paperback;42.99 USD
 Programming in C (3rd Edition);0672326663;9780672326660; Stephen G. Kochan;Sams Publishing;programming;576;2004-07-18;Paperback;49.99 USD
 Objective-C Programming: The Big Nerd Ranch Guide (2nd Edition) (Big Nerd Ranch Guides);032194206X;9780321942067;Aaron Hillegass, Mikey Ward;Big Nerd Ranch Guides;ranch, nerd, guides, guide, programming, objective;325;2013-11-28;Paperback;39.99 USD
 C Programming in One Hour a Day, Sams Teach Yourself (7th Edition);0789751992;9780789751997;Bradley L. Jones, Peter Aitken, Dean Miller;Sams Publishing;teach, yourself, sams, day, one, hour, programming;720;2013-10-21;Paperback;39.99 USD
 C Programming: A Modern Approach;0393969452;9780393969450;K. N. King, K.N. King;W W Norton & Co Inc;approach, modern, programming;661;1996-02;Paperback;90.90 USD
 The C Answer Book: Solutions to the Exercises in 'The C Programming Language,' Second Edition;0131096532;9780131096530;Clovis L. Tondo, Scott E. Gimpel;Prentice Hall;language, second, programming, exercises, solutions, book;208;1988-11-11;Paperback;48.67 USD
 C All-in-One Desk Reference For Dummies;0764570692;9780764570698; Dan Gookin;Wiley Publishing, Inc.;dummies, reference, desk, one;840;2004-09-03;Paperback;34.99 USD
 C Programming for the Absolute Beginner, 3rd;1305273761;9781305273764;Keith Davenport, Michael Vine;Cengage Learning PTR;beginner, absolute, programming;336;2014-09-17;Paperback;29.99 USD
 C Programming Professional Made Easy: Expert C Programming Language Success In A Day For Any Computer User!;1508818665;9781508818663; Getaway Guides;CreateSpace Independent Publishing Platform;programming, day, computer, user, success, expert, professional, made, easy, language;118;2015-03-10;Paperback;16.13 USD
 C Programming - An Advanced Course;1438275579;9781438275574; Noel Kalicharan;CreateSpace Independent Publishing Platform;course, advanced, programming;224;2008-08-11;Paperback;24.95 USD
 C Primer Plus (6th Edition) (Developer's Library);0321928423;9780321928429; Stephen Prata;Addison-Wesley Professional;library, developer, plus, primer;1080;2013-12-06;Paperback;54.99 USD
 Programming in Objective-C (6th Edition) (Developer's Library);0321967607;9780321967602; Stephen G. Kochan;Addison-Wesley Professional;library, developer, objective, programming;576;2013-12-13;Paperback;49.99 USD
 Practical C Programming (Nutshell Handbooks);1565923065;9781565923065; Steve Oualline;O\'Reilly Media;handbooks, nutshell, programming, practical;456;1997-08-11;Paperback;34.95 USD
 Learn C the Hard Way: A Clear & Direct Introduction To Modern C Programming (Zed Shaw's Hard Way Series);0321884922;9780321884923; Zed A. Shaw;Addison-Wesley Professional;hard, way, zed, shaw, series, programming, introduction, clear, direct, learn, modern;380;2015-07-27;Paperback;39.99 USD
 Professional CUDA C Programming;1118739329;9781118739327;John Cheng, Max Grossman, Ty McKercher;Wrox;programming, cuda, professional;528;2014-09-09;Paperback;59.99 USD
 Head First C;1449399916;9781449399917;David Griffiths, Dawn Griffiths;O\'Reilly Media;first, head;632;2012-04-22;Paperback;49.99 USD
 C Programming in Easy Steps;1840785446;9781840785449; Mike McGrath;In Easy Steps Limited;steps, easy, programming;192;2012-06-12;Paperback;14.99 USD
 C Pocket Reference;0596004362;9780596004361;Peter Prinz, Ulla Kirch-Prinz;O\'Reilly Media;reference, pocket;144;2002-11-30;Paperback;9.95 USD
 C For Dummies;0764570684;9780764570681; Dan Gookin;For Dummies;dummies;408;2004-05-07;Paperback;24.99 USD
 Programming: Principles and Practice Using C++ (2nd Edition);0321992784;9780321992789; Bjarne Stroustrup;Addison-Wesley Professional;using, practice, principles, programming;1312;2014-05-25;Paperback;74.99 USD
 The C++ Programming Language, 4th Edition;0321563840;9780321563842; Bjarne Stroustrup;Addison-Wesley Professional;language, programming;1368;2013-05-19;Paperback;74.99 USD
 21st Century C: C Tips from the New School;1491903899;9781491903896; Ben Klemens;O\'Reilly Media;school, new, tips, century;408;2014-10-12;Paperback;49.99 USD
 C Programming for Embedded Microcontrollers;0905705807;9780905705804; Warwick A. Smith;Elektor Publishing;microcontrollers, embedded, programming;319;2009-10-19;Paperback;Unknown
 Beginning C for Arduino: Learn C Programming for the Arduino (Technology in Action);1430247762;9781430247760; Ph.D. , Jack Purdum;Apress;arduino, action, technology, learn, beginning, programming;280;2012-12-03;Paperback;39.99 USD
 C in a Nutshell (In a Nutshell (O'Reilly));0596006977;9780596006976;Peter Prinz, Tony Crawford;O\'Reilly Media;nutshell, reilly;622;2005-12-26;Paperback;39.95 USD
 Secure Coding in C and C++ (2nd Edition) (SEI Series in Software Engineering);0321822137;9780321822130; Robert C. Seacord;Addison-Wesley Professional;software, engineering, series, sei, coding, secure;600;2013-04-12;Paperback;54.99 USD
 Linux System Programming: Talking Directly to the Kernel and C Library;1449339530;9781449339531; Robert Love;O\'Reilly Media;kernel, library, directly, talking, system, programming, linux;456;2013-06-08;Paperback;59.99 USD
 C Programming in 12 Easy Lessons;0672305224;9780672305221; Greg M. Perry;Prentice Hall;lessons, easy, programming;603;1994-01;Paperback;39.99 USD
 Accelerated C++: Practical Programming by Example;020170353X;9780201703535;Andrew Koenig, Barbara E. Moo;Addison-Wesley Professional;example, programming, practical, accelerated;352;2000-08-24;Paperback;49.99 USD
 A Book on C: Programming in C (4th Edition);0201183994;9780201183993;Al Kelley, Ira Pohl;Addison-Wesley Professional;programming, book;726;1998-01-08;Paperback;79.99 USD
 Microsoft Visual C# 2013 Step by Step (Step by Step Developer);073568183X;9780735681835; John Sharp;Microsoft Press;developer, visual, microsoft;824;2013-11-25;Paperback;44.99 USD
 C Primer Plus (5th Edition);0672326965;9780672326967; Stephen Prata;Sams Publishing;plus, primer;984;2004-12-03;Paperback;54.99 USD
 C# 5.0 in a Nutshell: The Definitive Reference;1449320104;9781449320102;Joseph Albahari, Ben Albahari;O\'Reilly Media;reference, definitive, nutshell;1064;2012-06-29;Paperback;54.99 USD
 The C Puzzle Book;0201604612;9780201604610; Alan R. Feuer;Addison-Wesley Professional;book, puzzle;192;1998-10-25;Paperback;24.99 USD
 C++ Programming For Beginners: A Simple Start To C++ Programming Written By A So ( C++, C++ Programming For Beginners, C Programming, C++ Programming Language) (Volume 1);1503162281;9781503162280; Scott Sanderson;CreateSpace Independent Publishing Platform;programming, beginners, language, volume, start, simple, written;134;2014-11-15;Paperback;14.99 USD
 Sudoku Programming with C;1484209966;9781484209967; Giulio Zambon;Apress;programming, sudoku;300;2015-03-12;Paperback;24.99 USD
 C Programming FAQs: Frequently Asked Questions;0201845199;9780201845198; Steve Summit;Addison-Wesley Professional;questions, asked, frequently, faqs, programming;432;1995-11-17;Paperback;34.99 USD
 Programming and Metaprogramming in the Human Biocomputer: Theory and Experiments;0692217894;9780692217894; Dr. John C. Lilly;Float On;theory, experiments, biocomputer, human, metaprogramming, programming;252;2014-05-08;Paperback;19.95 USD
 Understanding and Using C Pointers;1449344186;9781449344184; Richard M. Reese;O\'Reilly Media;pointers, using, understanding;226;2013-05-18;Paperback;39.99 USD
 Problem Solving and Program Design in C (7th Edition);0132936496;9780132936491;Jeri R. Hanly, Elliot B. Koffman;Prentice Hall;design, program, solving, problem;840;2012-03-04;Paperback;147.00 USD
 C# in Depth, 3rd Edition;161729134X;9781617291340; Jon Skeet;Manning Publications;depth;616;2013-09-30;Paperback;49.99 USD
